a      l_a  b      l_b  c       N
-24974  -31  23111  -15  1321437  1000 
-24440  -31  22719  -15  1322135  1000 
-23920  -31  22352  -15  1322823  1000 
-23413  -31  21984  -15  1323499  1000 
-22919  -31  21623  -15  1324163  1000 
-22438  -31  21276  -15  1324818  1000 
-21969  -31  20919  -15  1325461  1000 
-21512  -31  20591  -15  1326094  1000 
-21067  -31  20265  -15  1326717  1000 
-20633  -31  19949  -15  1327331  1000 
-20210  -31  19649  -15  1327934  1000 
-19797  -31  19339  -15  1328528  1000 
-19395  -31  19025  -15  1329113  1000 
-19002  -31  18712  -15  1329688  1000 
-18619  -31  18441  -15  1330255  1000 
-18246  -31  18151  -15  1330812  1000 
-17882  -31  17880  -15  1331362  1000 
-17526  -31  17602  -15  1331902  1000 
-17179  -31  17320  -15  1332435  1000 
-16841  -31  17073  -15  1332960  1000 
-16510  -31  16802  -15  1333476  1000 
-32376  -32  16577  -15  1333985  1000 
-31747  -32  32607  -16  1334486  1000 
-31132  -32  32171  -16  1334980  1000 
-30532  -32  31657  -16  1335466  1000 
-29946  -32  31205  -16  1335945  1000 
-29374  -32  30761  -16  1336418  1000 
-28815  -32  30331  -16  1336883  1000 
-28269  -32  29859  -16  1337341  1000 
-27736  -32  29419  -16  1337793  1000 
-27215  -32  29019  -16  1338239  1000 
-26706  -32  28600  -16  1338678  1000 
-26209  -32  28170  -16  1339110  1000 
-25723  -32  27804  -16  1339537  1000 
-25248  -32  27377  -16  1339957  1000 
-24783  -32  27026  -16  1340372  1000 
-24330  -32  26629  -16  1340781  1000 
-23886  -32  26256  -16  1341183  1000 
-23452  -32  25917  -16  1341581  1000 
-23028  -32  25551  -16  1341973  1000 
-22613  -32  25163  -16  1342359  1000 
-22208  -32  24827  -16  1342740  1000 
-21811  -32  24483  -16  1343116  1000 
-21423  -32  24138  -16  1343487  1000 
-21044  -32  23861  -16  1343853  1000 
-20672  -32  23528  -16  1344214  1000 
-20309  -32  23210  -16  1344570  1000 
-19954  -32  22913  -16  1344921  1000 
-19606  -32  22576  -16  1345267  1000 
-19266  -32  22270  -16  1345609  1000 
-18932  -32  22001  -16  1345947  1000 
-18606  -32  21708  -16  1346280  1000 
-18287  -32  21395  -16  1346608  1000 
-17975  -32  21134  -16  1346932  1000 
-17669  -32  20862  -16  1347252  1000 
-17369  -32  20586  -16  1347568  1000 
-17076  -32  20309  -16  1347880  1000 
-16789  -32  20101  -16  1348188  1000 
-16508  -32  19836  -16  1348492  1000 
-32465  -33  19584  -16  1348792  1000 
-31925  -33  19347  -16  1349088  1000 
-31396  -33  19066  -16  1349380  1000 
-30879  -33  18809  -16  1349669  1000 
-30371  -33  18582  -16  1349954  1000 
-29874  -33  18386  -16  1350236  1000 
-29387  -33  18162  -16  1350514  1000 
-28910  -33  17911  -16  1350788  1000 
-28442  -33  17703  -16  1351060  1000 
